,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99997383,0.99983674,0.9998257,0.9988686,0.999636,0.9988129,0.99886817,0.99833256,0.99917454,0.9988613
1,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9999972,1.0,0.9999151,0.99968123,0.99995065,0.99957794,0.9993979,0.99942946,0.9984493,0.9984746,0.9985745,0.99850416,0.99892807
2,nan,nan,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,0.9999982,0.99999326,0.9992989,0.99985164,0.99934846,0.99868166,0.9976869,0.9987031,0.9990556,0.9994073,0.99883115
3,1.0000001,1.0000001,1.0,1.0000001,1.0,1.0,1.0,1.0,1.0,0.99999934,0.99999887,0.99945515,0.99942625,0.99915934,0.99913394,0.99858314,0.99866056,0.99906796,0.99889857,0.9995597
4,1.0000001,nan,1.0000001,0.99999994,1.0,1.0000001,1.0,1.0,0.99994975,1.0,0.999971,0.99980277,0.9995921,0.99912655,0.9985704,0.9989713,0.9986874,0.9982993,0.99910074,0.9985296
5,nan,1.0000002,1.0,1.0,1.0,1.0000001,1.0,1.0,0.9999999,0.9999218,0.99994963,0.9999946,0.9995445,0.99931526,0.9988134,0.9986796,0.9988899,0.99863845,0.9989147,0.99927586
6,nan,0.99999994,1.0,1.0,1.0,1.0,1.0,0.9999782,1.0,0.9998786,0.9999969,0.99963385,0.99912494,0.9992261,0.99903876,0.9989182,0.99852955,0.9981864,0.99939996,0.99956065
7,nan,nan,1.0,1.0,1.0,1.0,0.99999994,0.9999998,1.0,1.0,0.9999988,0.99940586,0.9999577,0.99969167,0.9989046,0.9991313,0.9991318,0.9988037,0.99915236,0.9983848
8,nan,0.9999999,0.99999994,1.0,1.0,1.0,0.99999994,1.0,0.9999964,0.99999267,0.9999964,0.9995442,0.9997572,0.9985682,0.99912655,0.9988619,0.99860865,0.99923354,0.9988198,0.9989108
9,nan,1.0,1.0000001,1.0000001,1.0,1.0,0.99999994,1.0,1.0,1.0,0.99999994,0.999649,0.9995092,0.99869496,0.999157,0.9986419,0.9982549,0.99855435,0.9991959,0.99920905
10,nan,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,0.99999565,0.99997985,1.0,0.9995988,0.9997876,0.99938005,0.998602,0.9986855,0.9992338,0.99855626,0.99858755,0.99866974
11,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999523,0.99999166,0.9999376,0.9993341,0.9988483,0.99864614,0.99852663,0.99867666,0.9983274,0.9985784,0.99858046
12,nan,0.99999994,1.0,0.99999994,1.0,1.0,1.0,0.9999999,1.0,0.99999964,0.99970686,0.99943066,0.99950063,0.9996052,0.99901026,0.9995144,0.99891025,0.9988177,0.99819577,0.9992278
13,nan,1.0,nan,0.9999999,1.0,1.0,1.0,0.9999983,1.0,0.99992067,0.9998821,0.99956924,0.99941546,0.99937457,0.99923617,0.9993041,0.9982182,0.9983582,0.9985443,0.99950665
14,nan,1.0,1.0,1.0,1.0,1.0,1.0000001,0.99999994,1.0,0.9999523,0.99994016,0.9999706,0.99941546,0.9993307,0.9990947,0.99927694,0.99922055,0.99900573,0.9985204,0.99923295
15,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999956,0.9995388,0.99999636,0.99955994,0.99938315,0.9984311,0.9984359,0.9984754,0.99854827,0.99804,0.99884665
16,nan,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999992,0.9999991,0.99979377,0.99952435,0.9994078,0.99947464,0.9988509,0.9988055,0.9986538,0.99853706,0.9992531
17,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99999875,0.99991536,0.9999151,0.9993334,0.9995109,0.9987344,0.999541,0.9986146,0.9984405,0.99890375,0.9989072
18,nan,1.0,1.0,1.0000001,1.0000001,1.0,0.9999975,1.0,0.9999959,0.9999997,0.9998573,0.9997907,0.9994387,0.9994388,0.99916536,0.99816996,0.9987189,0.999126,0.9988726,0.9980952
19,nan,nan,1.0,0.99999994,1.0,1.0,1.0,1.0,0.9999733,0.9999994,0.99944013,0.9991558,0.9993353,0.9990973,0.99881846,0.99854636,0.9987562,0.9991147,0.9994362,0.99926174
20,nan,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9998929,0.9999988,0.99982476,0.99975693,0.99910355,0.9989529,0.9993026,0.9990692,0.9980895,0.9981587,0.99856484
21,nan,1.0,0.9999998,1.0,1.0,1.0,1.0000001,1.0,0.99999976,0.9999925,0.9999849,0.9999394,0.999941,0.99886906,0.99893945,0.99984974,0.9987773,0.9992917,0.99919933,0.9984355
22,nan,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,0.9999902,0.9999994,0.9994236,0.999608,0.9998138,0.99929225,0.9989156,0.99885595,0.99856234,0.99810153,0.9990115,0.9988314
23,nan,nan,1.0,0.99999994,1.0,1.0000001,1.0000001,1.0,0.9999996,0.99999875,0.9998337,0.99994826,0.9992535,0.99941164,0.9988868,0.99913913,0.9991067,0.9985679,0.99873847,0.99930316
24,nan,0.9999999,1.0000001,1.0,1.0,1.0,0.99999994,1.0,0.9999745,0.9999987,0.9999986,0.9999421,0.999453,0.9988128,0.9993163,0.9987662,0.9990239,0.9992447,0.99900997,0.99911726
25,nan,1.0000001,1.0,1.0,1.0,1.0,1.0000001,0.99999994,1.0000001,0.9999999,0.99999636,0.9999711,0.99966204,0.9990312,0.9986314,0.99920684,0.99847066,0.99877506,0.9985406,0.9989107
26,nan,1.0,0.9999998,0.99999994,1.0,1.0000001,1.0,1.0,0.99999416,0.99999154,0.9999686,0.99997884,0.99942905,0.9991325,0.9988635,0.9989331,0.9981674,0.9984738,0.9993904,0.99852103
27,nan,0.9999999,1.0,0.9999999,1.0,1.0,1.0,0.9999999,1.0,1.0,0.9999562,0.9994176,0.99939036,0.99918514,0.9991627,0.99846077,0.99898756,0.9979991,0.998692,0.99845314
28,nan,nan,1.0,1.0,1.0,1.0,1.0,1.0,0.9999978,1.0,0.9999694,0.99925375,0.9989224,0.99853885,0.99906194,0.9992051,0.99906886,0.9985253,0.9979753,0.9986771
29,nan,1.0,0.9999998,0.99999994,1.0,1.0,1.0,1.0,0.9999504,1.0,0.99983793,0.9999225,0.9994452,0.99946517,0.9985926,0.99933755,0.9986829,0.99862194,0.9986829,0.9987049
