,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,nan,nan,nan,0.9806702,0.99772614,nan,0.999805,0.999983,0.99999154,0.999983,0.9996076,0.9997871,0.99914825,0.99996054,0.99937636,0.99897665,0.99885684,0.99901986,0.998143,0.9989527
1,nan,nan,nan,0.98765,0.9872185,0.9963532,0.99978364,0.99999833,0.99998856,0.9999898,1.0000001,0.9993922,0.9994835,0.9991131,0.99912995,0.99913645,0.9990747,0.9991543,0.9993717,0.99800193
2,nan,nan,nan,0.98624784,0.98809165,nan,0.9991706,0.9999779,0.999929,1.0,1.0,0.99999857,0.999614,0.9997615,0.99929404,0.9990873,0.99818355,0.9983793,0.998322,0.9984972
3,nan,nan,nan,0.9712585,0.99690247,0.99161744,0.9998616,1.0,0.9999733,nan,0.99998856,0.99998,0.9999412,0.9993728,0.99897003,0.9996103,0.9991032,0.99922615,0.9982441,0.9985652
4,nan,nan,nan,nan,0.98720706,0.9982012,nan,0.9999625,nan,0.9999989,0.9999458,0.99999493,0.9998187,0.9998597,0.99868655,0.9993718,0.9986117,0.9990101,0.99846536,0.9987645
5,nan,nan,nan,nan,0.99430895,0.99527997,0.99676174,0.99996406,0.99999917,0.99999887,0.99891686,0.9999445,0.99994725,0.9988127,0.9985656,0.99859357,0.99778724,0.99925584,0.99900115,0.99864405
6,nan,nan,nan,0.9857857,0.9959289,0.99780136,0.99927086,0.9999999,0.9999999,1.0000001,0.99994284,0.9999995,0.9991735,0.99896383,0.9997166,0.9993806,0.99854267,0.9985293,0.99913293,0.99864423
7,nan,nan,nan,nan,0.9923955,0.9961646,0.9995116,0.9999917,1.0,1.0,0.99947417,0.9999159,0.998998,0.9994106,0.9979664,0.9991665,0.9986359,0.9984591,0.9989558,0.9994211
8,nan,nan,nan,0.97103155,0.9940378,0.9986141,0.9999301,0.9994504,0.9999805,0.9999956,1.0,0.9999711,0.99998957,0.999715,0.9991539,0.99907386,0.99833196,0.99878407,0.99842,0.99915516
9,nan,nan,nan,0.956764,0.99022007,0.99856144,0.9997209,0.9991623,0.9999534,0.9999981,0.99998957,0.9994591,0.99992645,0.99999917,0.99878097,0.9988132,0.99867606,0.9976795,0.99853474,0.99817073
10,nan,nan,0.98090667,0.96219987,nan,0.9983073,0.9952403,1.0,0.99999344,1.0,0.9999998,0.99995464,0.9986158,0.9993295,0.9993852,0.99881434,0.99971557,0.99907845,0.99863124,0.9995276
11,nan,nan,nan,0.98057914,0.988472,0.9986031,0.99997663,0.9999555,1.0,1.0,0.9999915,0.9997881,0.9990083,0.9992877,0.99914676,0.9988792,0.999393,0.9984759,0.9991832,0.9975848
12,nan,nan,nan,nan,0.9865655,0.98689795,0.9973836,0.99998635,0.9999989,0.9999999,0.9999941,0.99998784,0.9999253,0.99921143,0.9986008,0.99848944,0.99942434,0.9979563,0.9989178,0.9976436
13,nan,nan,nan,0.9847629,0.9956995,0.99920624,nan,0.9999999,0.99999917,0.9999999,0.99989486,0.9999823,0.9997594,0.9991592,0.9985496,0.9986396,0.9986632,0.9987123,0.99835473,0.9980129
14,nan,nan,nan,nan,0.9906184,nan,0.99912304,0.99979895,0.9999999,1.0,0.9999926,0.9999321,0.99999833,0.9992285,0.99878794,0.998434,0.99871254,0.9991948,0.99825746,0.99837935
15,nan,nan,nan,0.9678376,0.99636763,0.9966504,0.9998705,0.99993634,0.9999985,1.0000001,0.99999994,0.9999631,0.99936706,0.999572,0.99906325,0.99920857,0.9975605,0.99847,0.99889374,0.99905694
16,nan,nan,0.99623275,0.97050065,nan,0.997797,0.9991748,0.99999696,0.9999887,1.0,0.9999061,0.99999994,0.99983066,0.9993865,0.9989142,0.99937564,0.9990491,0.99849087,0.99903727,0.99761945
17,nan,nan,0.92901427,0.9788506,0.99467355,0.99678713,0.9990562,0.9999759,0.99999183,0.9999994,0.9999992,0.99999285,0.99992216,0.9993668,0.99926573,0.9991722,0.99925005,0.9986962,0.9989352,0.9982462
18,nan,nan,0.9651659,0.9855743,0.9917854,nan,0.999976,0.9999995,0.9999982,1.0,0.99999994,0.99999994,0.99956566,0.9998063,0.99878186,0.99972075,0.99903643,0.99894303,0.9984913,0.9987389
19,nan,nan,nan,0.97913635,nan,0.9942696,0.9999781,0.9999999,0.99999535,0.99999905,0.99997044,0.99998325,0.99960774,0.9988642,0.99838376,0.99848896,0.99893135,0.99777997,0.9999011,0.99795234
20,nan,nan,nan,0.95157206,0.9809035,0.9989627,0.9997497,0.9998999,1.0,1.0,0.99980104,0.9999924,0.99999344,0.9995921,0.99877906,0.9994086,0.9988449,0.9982635,0.9992717,0.9983471
21,nan,nan,0.9001898,0.97758645,0.9973966,0.9906613,0.99713033,0.99996364,0.99999917,0.99993,0.9999992,0.9999104,0.99930394,0.9995941,0.9996982,0.9987903,0.99842453,0.9989601,0.99903065,0.9991497
22,nan,nan,nan,0.9824624,0.9962314,nan,0.9999698,0.99989426,1.0,0.9999998,0.99999195,0.9999866,0.9992061,0.99994767,0.99898666,0.99804455,0.9992804,0.99934113,0.99925834,0.9988468
23,nan,nan,nan,nan,0.9856396,0.9996117,0.9998285,0.9999997,0.9999917,1.0,0.9999445,0.99874026,0.9993858,0.9993207,0.99809873,0.9980483,0.9984641,0.99881107,0.99820286,0.9984031
24,nan,nan,nan,0.9678833,0.992016,0.99478453,0.99996775,0.99998957,1.0,1.0,0.99998933,0.9999557,0.9993959,0.9991471,0.9982986,0.9984192,0.9991057,0.9992912,0.9993377,0.99848664
25,nan,nan,0.9674179,0.9926821,0.99286306,0.9983054,0.999916,0.9999682,0.9999921,0.999931,0.999992,0.9999991,0.9999177,0.9998484,0.99897444,0.9985158,0.99951184,0.9988711,0.99879026,0.9989044
26,nan,nan,nan,0.9431612,0.9945017,0.9987583,0.99967176,0.99996674,1.0,0.99999875,0.9999975,0.99992746,0.9998718,0.99933755,0.9989584,0.9986396,0.9987342,0.9979191,0.99954206,0.9998453
27,nan,nan,0.9811786,0.96407455,0.98294467,0.99453396,0.9999919,0.9998137,0.9999117,0.99965906,1.0,0.9999147,0.9995833,0.998553,0.99915326,0.9989543,0.9982203,0.9992616,0.9977976,0.9989766
28,nan,nan,nan,0.9702311,0.9961518,0.9984086,nan,0.99998075,0.9999999,0.9999873,1.0,0.9999986,0.9997417,0.9991619,0.99892586,0.9981871,0.998614,0.9988115,0.9987903,0.999032
29,nan,nan,0.95590085,0.97854716,0.99293774,0.99981993,0.9993185,0.9998447,0.9999962,0.9999994,0.9999888,0.99992484,0.99892455,0.99856484,0.99821883,0.99841964,0.9991684,0.9980066,0.9987931,0.99853975
