,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,nan,nan,nan,nan,nan,0.9972655,nan,nan,nan,0.9948982,nan,nan,0.9931893,0.97910345,0.97434556,0.9844939,nan,nan,nan,nan
1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98018795,nan,0.984225,nan,0.9837961,0.99504733,0.98984635
2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9842611,nan,nan,nan,nan,0.98235583,nan,nan,0.99229854,nan
3,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9887967,nan,0.97116596,nan,nan,nan,nan,nan,0.8930609,0.9878195,nan
4,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99520576,nan,nan,0.98394024,nan,0.9903614,nan,nan,nan,nan,nan
5,nan,nan,nan,nan,nan,0.9987969,nan,nan,nan,nan,nan,nan,0.992735,nan,nan,0.9621821,nan,0.9817821,0.99770236,nan
6,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98554015,0.9874473,0.9955562,0.99451226
7,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9799384,0.9874554,nan,nan,nan,0.9956536
8,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98866993,nan,0.9920015,nan,nan,0.98248035,0.9848045,0.9902878,0.992631,nan
9,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9788895,nan,nan,0.95460004,0.97549504,nan,nan,nan
10,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99006784,nan,0.899583,0.9557183,nan,nan
11,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9880338,nan,nan,nan,nan,nan,nan,nan,0.98632395
12,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98214966,nan,0.97588927,nan,nan,nan,0.9923574,nan
13,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.8976245,0.9846873,nan,nan,nan
14,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.97695905,nan,nan,0.9780646,nan,0.98738426,0.93007725,nan,nan
15,nan,nan,nan,nan,0.999472,nan,nan,0.99531806,nan,nan,nan,nan,nan,nan,nan,nan,0.9913901,nan,nan,nan
16,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9819603,nan,nan,0.9830163,nan,nan,nan,0.9882289,nan,nan
17,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.994913,nan,0.9920161,nan,0.9896178,nan
18,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98877746,nan,nan,nan,nan,0.9905867,nan,0.9956185,nan
19,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.97864693,nan,nan,0.9851864,nan,0.9901195,nan
20,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9875536,nan,nan,nan,nan,nan,0.9864651,0.99770075,nan,0.9965132,nan
21,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9860514,nan
22,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9937803,nan,nan,nan,0.9920876,nan,0.9948756
23,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9648124,nan,nan,nan,nan,nan,nan,0.9951374
24,nan,nan,nan,nan,nan,0.9983111,nan,nan,nan,0.9921338,nan,nan,nan,0.9828089,0.98297906,nan,nan,nan,nan,nan
25,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9828885,0.97740394,0.96457803,0.98548436,nan,0.98807067,nan,0.9884457,0.9805169
26,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.99218714,0.976458,0.9843974,nan,nan,nan,0.9017444,nan,nan,0.9918277,nan
27,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.9817275,nan,nan,0.9913339,0.9840114,nan,0.99459934
28,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.98721737,nan,nan,nan,0.97314084,nan,nan,0.99231,nan,nan
29,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.96354187,nan,nan,nan,0.92457926,nan,0.9901129,nan
