,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,nan,nan,0.99223787,0.9999941,0.99364644,0.9999931,0.9999981,0.99939966,0.9993229,0.999523,1.0,0.9999396,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1,nan,nan,0.98365116,0.99926317,0.9999773,0.9999928,0.9999841,0.99948776,0.9992128,0.99972934,0.99964106,0.9999995,1.0,0.9999997,0.99999994,0.99999994,1.0,1.0,1.0,1.0
2,nan,0.99999774,0.99631405,nan,0.9966961,1.0,1.0,0.9995614,0.99953485,0.9997877,0.99996454,0.9999973,1.0,1.0,0.99938434,1.0,1.0,1.0,1.0,1.0
3,nan,0.97268665,0.9938204,0.9929739,0.99988794,0.9998107,1.0000001,1.0,0.9997819,0.9999998,0.9996683,0.9996491,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0
4,0.9999998,nan,0.99888116,0.9936567,0.99999845,1.0,1.0,0.9997282,0.99985194,0.99999845,0.9999922,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,nan,0.99271035,0.99283266,0.9858069,0.99975985,0.99983174,1.0,0.99999547,0.9998432,0.9989563,0.999972,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0,1.0
6,1.0000001,0.9826796,0.9972475,0.9976945,0.9999998,0.9999581,0.99999994,1.0,0.99934554,0.9995309,1.0,0.9999993,1.0,0.9999994,1.0,1.0,1.0,1.0,1.0,0.9999999
7,nan,0.99682254,nan,0.9802581,0.9998253,0.99997956,0.9999933,0.9996977,0.99999976,0.9999995,0.99950755,1.0,1.0,0.99999756,1.0,1.0,1.0,1.0,1.0,1.0
8,nan,0.987941,0.99389696,0.99999857,0.99958813,0.9999304,1.0,0.999605,0.99952006,0.99986947,0.9999792,0.99999505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
9,nan,0.987692,nan,0.9984642,1.0,0.99999815,0.99976486,0.99998873,0.99999195,0.9996745,0.99996763,1.0,0.9999997,1.0,1.0,1.0,1.0,1.0,1.0,1.0
10,nan,0.99167705,0.99942446,0.99084014,0.9999997,0.9992141,1.0,0.99950254,0.99954945,0.9999973,0.9999953,0.99999547,1.0,0.9999994,1.0,1.0,1.0,1.0,1.0,1.0000001
11,1.0,nan,0.9659279,0.9979241,0.9998437,0.99998933,1.0,1.0,0.9988768,0.9997265,1.0,0.9990725,1.0,0.9999989,1.0,0.99999976,1.0,1.0,1.0,1.0
12,nan,0.9929255,0.96935815,0.99906117,0.99761647,0.99998665,0.999994,0.9995847,0.9996196,0.9999999,0.99999976,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13,nan,0.9927659,0.99813086,0.99481636,0.9999999,0.99977636,1.0,1.0,1.0,1.0,0.9999972,0.999283,0.99987817,1.0,1.0,0.99999845,1.0,1.0,1.0,1.0
14,nan,0.99292153,nan,0.99227095,0.9999978,0.9988212,1.0,0.9998081,0.9995391,0.9994995,0.9999998,0.9991829,0.99999964,1.0,0.99998206,1.0,1.0,1.0,1.0,1.0
15,nan,nan,0.9840316,0.9994279,0.9953475,0.999996,0.9999923,0.9998702,0.9992594,0.9995898,0.9997682,0.99935603,0.9999959,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0
16,nan,nan,0.95015115,0.99148166,0.9993283,nan,0.99943256,0.99992037,0.9996771,0.9996188,1.0,0.99999994,0.999581,1.0,0.99999994,1.0,1.0,1.0,1.0,1.0
17,nan,0.98623705,0.9932291,0.99729604,0.99960184,0.999867,0.99941635,1.0,0.9999988,0.99963075,0.9991116,0.9999213,0.9999978,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18,nan,0.98493385,nan,0.9934686,0.9996275,0.99999976,1.0,0.9999925,0.9998219,1.0,1.0,0.99999994,0.9999807,0.99999994,1.0,1.0,1.0,1.0,1.0,1.0
19,nan,0.99312174,0.9750614,0.9970186,0.9992906,0.99983335,0.99998,0.9998702,0.99967587,1.0,0.99999994,0.99999243,1.0,1.0,1.0,1.0,1.0,0.9999999,1.0,1.0
