,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.0,1.0,1.0,1.0000001,1.0,1.0,0.99965143,0.9998119,0.99922985,0.999272,0.99955255,0.99999994,0.99981815,0.9996641,1.0,1.0,0.9999995,0.9999947,1.0,0.9999917
1,1.0000001,1.0,0.99999994,1.0,1.0,0.99961805,0.99990064,0.9994005,0.99962246,0.9988085,0.9997068,0.9998414,0.99999964,0.9997353,0.9999252,1.0,1.0,0.9999996,1.0,0.9999992
2,1.0,1.0,1.0,1.0,1.0000001,1.0,0.9991688,0.9995592,0.99937505,0.998703,0.9989933,0.99987775,0.9999997,0.99996716,0.99999833,0.99999946,1.0,0.9997763,0.9999947,0.99999964
3,1.0000001,1.0,1.0,1.0,1.0,1.0,0.9999959,0.99956924,0.99986595,0.99980766,0.9991715,0.999994,0.99997354,0.99999887,1.0,0.99999624,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,1.0,0.9995186,0.99931926,0.9987704,0.99954844,0.9996725,0.999981,0.998662,0.9996062,0.999999,0.99996394,1.0,1.0,1.0,1.0
5,1.0,1.0,1.0,1.0,1.0,1.0,0.99985856,0.9997261,0.99999267,0.9998511,0.99787027,0.99927497,0.9999415,0.9999999,0.99999624,0.9999942,0.99999946,0.99999917,1.0,1.0
6,1.0,1.0,1.0,1.0,1.0,1.0,0.9999997,0.9996243,0.9995698,0.9995531,0.99991894,0.999798,0.9999538,0.99999076,1.0,0.99999803,1.0,0.9999999,0.9999999,0.9999999
7,1.0,1.0,1.0,1.0,0.9999994,1.0,0.99999416,0.999451,0.99903095,0.9994127,0.9990007,0.9999972,0.9994361,0.9999973,1.0,1.0,0.99997574,1.0,0.9999994,1.0
8,1.0,1.0,1.0,1.0,1.0,0.99999905,1.0,0.9998958,0.9993515,0.9990479,0.9999483,1.0,0.99999994,0.9990729,1.0,0.9999999,1.0,0.99990314,1.0,1.0
9,1.0,1.0,1.0,0.99999994,1.0,0.999991,0.9999214,0.99999404,0.99909276,0.99934804,0.9995337,0.99885225,0.999711,0.9999828,0.9991459,0.9999173,0.99999934,0.9999996,1.0,1.0
10,1.0000001,0.99999994,1.0,1.0,1.0,0.9999984,0.99937004,0.99941367,0.99945843,0.9997923,0.9995731,0.9999988,0.999821,0.99999714,0.99999994,1.0,1.0,1.0,0.9999998,1.0
11,0.99999994,1.0,0.99999994,1.0,1.0,0.9999991,0.9990316,0.99995124,0.99869484,0.9989177,0.9994681,0.9999893,0.9999969,0.9999866,0.9998637,1.0,0.99999785,1.0,1.0,0.9999976
