,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,nan,nan,0.9993587,nan,0.9991683,0.9934774,0.9953366,0.9860217,0.99334455,0.97860754,0.98812944,0.9905805,0.9515117,0.98669237,0.96787554,0.96745723,0.93572515,0.8915311,0.9958628,0.9898087
1,nan,nan,0.99965477,0.9992821,0.99941635,0.9969375,0.99395424,0.990577,0.9834138,0.9724821,0.9342856,0.9912853,0.9899258,0.9196785,0.98189557,0.99449575,0.9944505,0.99414515,0.99322,0.996819
2,nan,0.99968386,0.9994953,0.99897003,nan,0.9960808,0.997491,0.98974705,0.99202484,0.9856952,0.99203545,0.98430914,0.9926708,0.94066954,0.99218774,0.9929446,0.9671155,0.99575967,0.99536204,0.9959923
3,nan,nan,nan,nan,0.99748534,0.9968019,nan,0.9912002,0.9889675,0.9861436,0.9922171,0.95570666,0.99282,0.9916267,0.9910318,0.9955173,0.9929891,0.9898741,0.99583596,0.99492854
4,nan,nan,nan,0.9990772,nan,0.99892455,0.99626434,0.9939332,0.9952138,0.9827937,0.970146,0.97979546,0.96813434,0.97708946,0.99405,0.99397945,0.99350715,0.9932943,0.9963903,0.9943967
5,nan,nan,0.9996821,nan,0.9986181,0.9982466,0.99683225,0.9947334,0.9772359,0.97946405,0.9511486,0.9880659,0.9791548,0.98677313,0.9912191,0.9780222,0.9901896,0.99601334,0.99326265,0.9939057
6,nan,nan,0.999567,nan,0.9981397,0.99588203,0.99345225,0.98765385,0.96772885,0.971626,0.9884573,0.9820488,0.92157257,0.9489555,0.9954447,0.989211,0.9943255,0.9946859,0.99375546,0.996867
7,nan,nan,0.9996886,nan,0.9989498,0.9985344,0.99614924,0.9974911,0.98807675,0.9766487,0.9459085,0.9877538,0.98942894,0.9646937,0.9814217,0.9943937,0.99475163,0.99589896,0.9936157,0.99648935
8,nan,nan,0.9996223,nan,0.99761903,nan,0.99545246,0.9949806,0.990862,0.98774135,0.97872084,0.98041326,0.99344647,0.99030036,0.991713,0.99261296,0.9584024,0.9912422,0.9944671,0.9952776
9,nan,nan,nan,nan,0.99935704,0.9945089,nan,0.996171,0.972092,0.9891473,0.9932215,0.94254994,0.95806503,0.9924885,0.98522455,0.99254894,0.8743993,0.9911807,0.9961551,0.99493647
10,nan,nan,nan,nan,nan,0.99730206,0.9958735,0.9903226,0.99192303,0.98364955,0.9923983,0.9576892,0.9857222,0.9920044,0.9943761,0.9922111,0.99356604,0.9945259,0.9942886,0.99655664
11,nan,nan,nan,0.9991944,0.99689305,0.99843496,0.9959235,0.9912313,0.99193096,0.9933529,0.97299284,0.96375257,0.99409336,0.9897464,0.9863557,0.99157995,0.99178267,0.9956557,0.99504,0.9960152
12,nan,nan,nan,0.9986543,nan,0.9939146,nan,0.9954774,0.99497426,0.99200326,0.9825436,0.9736011,0.94823766,0.9846903,0.9920616,0.9918779,0.9950232,0.99407166,0.99636006,0.9966009
13,nan,nan,nan,nan,nan,0.99701506,0.9965705,0.99481434,0.99343926,0.98419154,0.96267927,0.9681346,0.9904134,0.98356533,0.99219596,0.97381014,0.98521376,0.98965836,0.99297714,0.9922067
14,nan,nan,0.9997274,0.9993019,0.9978921,0.9959914,0.99518335,0.99640256,0.9931376,0.9871584,0.99154204,0.99118996,0.9906817,0.9862643,0.99242944,0.9914216,0.9898927,0.99039626,0.9933575,0.9962689
15,nan,0.999746,nan,nan,0.99891186,nan,0.99516153,0.99341327,0.9939548,0.9889736,0.9700346,0.9918235,0.9774401,0.95636046,0.9919964,0.9851246,0.9895409,0.9776441,0.9955094,0.9970018
16,nan,nan,nan,0.99937767,0.99875337,0.99860984,0.9964117,0.9944367,0.99427116,0.9885451,0.9879089,0.9823076,0.94249153,0.96889955,0.99371153,0.9937978,0.98528695,0.9932586,0.992842,0.99612314
17,nan,0.9997454,nan,nan,0.99851465,0.998373,0.9901511,0.99558884,0.9897567,0.9907096,0.96684,0.9713328,0.9369402,0.9880098,0.9899744,0.9924425,0.98984987,0.9963059,0.99394196,0.9894682
18,nan,nan,nan,0.9995532,0.9979949,0.9927817,0.9931248,0.99161845,0.9952857,0.9905011,0.99109036,0.9675508,0.99231786,0.9709302,0.99289006,0.9803176,0.9921581,0.9947326,0.99191475,0.9955555
19,0.9999224,nan,0.99951667,0.9994411,0.99869126,0.9955202,0.99715954,0.9965744,0.990999,0.9801356,0.9624247,0.9700467,0.97248566,0.99502486,0.95368993,0.9937219,0.99252826,0.99507225,0.99339664,0.99207133
20,nan,0.9998667,0.99967116,0.9992028,0.999129,0.9983794,0.99701977,0.9725485,0.9920473,0.98072135,0.99011254,0.98709947,0.9930497,0.9898067,0.9879513,0.99256736,0.9271873,0.99182767,0.9961677,0.9935754
21,nan,nan,nan,0.9988667,0.99806195,0.9954088,nan,0.9905865,0.9832148,0.97987825,0.9934628,0.98671573,0.946496,0.9901395,0.9039166,0.99214476,0.98479515,0.9919603,0.9944741,0.996572
22,nan,nan,nan,0.9993941,0.9991847,0.9986172,0.9921359,0.9956569,0.98966163,0.98272294,0.9896403,0.9723279,0.9464753,0.9934444,0.99151874,0.99009037,0.9937701,0.9954265,0.9954365,0.996776
23,nan,nan,0.9994988,nan,0.9974536,0.99851054,0.9975685,0.99407184,0.9940989,0.9922468,0.99028796,0.9670896,0.9623006,0.9907346,0.98106754,0.9892251,0.9943395,0.99491906,0.9969556,0.99557096
24,nan,nan,0.9996641,nan,0.9992067,0.9982496,0.99722826,0.9947933,0.9937717,0.9758419,0.96239567,0.9905543,0.9305715,0.98800516,0.977557,0.9887647,0.98896724,0.99662566,0.99294734,0.9952682
25,nan,nan,nan,0.9994274,0.998531,0.9974298,0.99540967,0.9964944,0.99433315,0.98954326,0.9733124,0.98840576,0.99086964,0.9670504,0.9940255,0.9598752,0.9893384,0.99180824,0.9934576,0.9964727
26,nan,nan,0.99952537,0.9993573,0.9985827,0.9945323,0.9975754,0.9955967,0.99467075,0.98166066,0.9770025,0.99526644,0.96657085,0.99114245,0.9892302,0.97996306,0.9949477,0.99434066,0.9948757,0.9941343
27,nan,nan,0.99966115,0.9994803,0.99305695,0.99656326,0.9975738,0.9953227,0.9855017,0.9903127,0.9891983,0.97046804,0.99297214,0.9692936,0.9934941,0.99203336,0.9938834,0.9922142,0.9966174,0.9946577
28,nan,nan,0.99926764,0.9991093,nan,0.996694,0.9968545,0.99132836,0.991418,0.9882326,0.9833639,0.99253184,0.9609757,0.96633565,0.99562013,0.9880643,0.99322444,0.99085987,0.9950428,0.99139404
29,nan,nan,0.9994882,nan,0.9963757,0.9971575,0.9966728,0.9919064,0.9957057,0.9944766,0.9840166,0.98266,0.9537074,0.9933405,0.9926033,0.98824596,0.9934783,0.98758453,0.99547607,0.9178623
